,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
12085,41643374,14,0.0,0.0,0.0,4.56,4.42,304.0,0.0,16.7,37.5,224.0,60.6,,1294,53.45,7.64,POINT (7.64 53.45)
12086,41643360,4,4.0,12.0,84.0,4.96,4.62,45.3,1.0,2.6,123.4,99.4,8.0,,1289,53.32,7.64,POINT (7.64 53.32)
12087,41643230,5,3.0,2.0,95.0,5.32,4.51,10.2,0.0,0.8,55.6,29.2,4.4,,2672,52.16,7.71,POINT (7.71 52.16)
12088,41643202,6,5.0,14.0,81.0,6.38,5.56,10.7,0.0,1.0,88.0,55.3,3.6,,1873,51.91,7.72,POINT (7.72 51.91)
12089,41643094,7,22.0,57.0,21.0,4.97,4.36,41.9,1.0,4.1,78.9,87.3,7.1,,2857,50.94,7.77,POINT (7.77 50.94)
12090,41643072,28,16.0,47.0,37.0,4.84,4.13,54.5,0.0,2.8,0.0,67.8,7.6,high electrical conductivity,2845,50.74,7.78,POINT (7.78 50.74)
12091,41643018,18,26.0,63.0,11.0,7.01,6.62,16.1,6.0,1.7,36.7,100.9,16.1,,2490,50.25,7.8,POINT (7.8 50.25)
12092,41642978,8,32.0,56.0,12.0,6.64,6.24,17.1,1.0,1.8,73.9,601.8,17.2,,1642,49.89,7.81,POINT (7.81 49.89)
12093,41642964,8,21.0,43.0,36.0,7.53,6.97,14.8,13.0,1.7,32.0,407.5,14.1,,1641,49.77,7.82,POINT (7.82 49.77)
12094,41623298,2,3.0,7.0,90.0,4.3,4.05,19.9,0.0,1.0,25.7,23.0,5.0,,1336,52.77,7.64,POINT (7.64 52.77)
12095,41623280,1,3.0,5.0,92.0,6.99,6.38,25.6,1.0,1.5,68.0,79.0,12.1,,2678,52.61,7.65,POINT (7.65 52.61)
12096,41623250,6,5.0,10.0,85.0,3.75,3.0,29.1,0.0,1.6,12.1,35.4,2.8,,2675,52.34,7.67,POINT (7.67 52.34)
12097,41623082,15,24.0,58.0,18.0,5.63,5.16,27.9,1.0,3.0,24.3,73.2,9.2,,2848,50.83,7.74,POINT (7.74 50.83)
12098,41622728,10,29.0,65.0,6.0,5.16,4.7,28.2,0.0,2.9,12.0,88.4,8.5,,3072,47.65,7.88,POINT (7.88 47.65)
12103,41603342,4,23.0,24.0,52.0,5.9,5.05,155.7,0.0,7.9,22.2,112.5,31.5,,1319,53.16,7.59,POINT (7.59 53.16)
12104,41603320,1,2.0,4.0,95.0,5.75,5.09,24.0,0.0,1.3,104.8,86.8,6.7,,1321,52.96,7.6,POINT (7.6 52.96)
12105,41603306,3,4.0,13.0,84.0,4.84,4.3,37.1,0.0,1.6,128.2,59.2,7.9,,1322,52.84,7.61,POINT (7.61 52.84)
12106,41603222,2,4.0,44.0,52.0,5.72,5.71,15.1,1.0,1.3,79.6,88.3,4.4,,2669,52.08,7.65,POINT (7.65 52.08)
12107,41603216,5,7.0,13.0,80.0,5.75,5.3,19.8,0.0,1.8,130.9,27.8,8.0,,2668,52.03,7.65,POINT (7.65 52.03)
12108,41603194,7,18.0,20.0,62.0,6.49,5.67,12.8,0.0,1.6,60.2,222.4,12.5,,1880,51.83,7.66,POINT (7.66 51.83)
12109,41603168,7,14.0,76.0,10.0,7.06,6.58,23.2,5.0,1.7,58.1,190.5,14.0,,1856,51.6,7.68,POINT (7.68 51.6)
12110,41603104,29,32.0,62.0,6.0,3.47,3.02,145.0,0.0,6.1,19.1,66.3,18.0,,2893,51.02,7.7,POINT (7.7 51.02)
12111,41603090,15,19.0,64.0,17.0,4.14,3.74,94.9,0.0,5.4,26.5,92.5,11.5,,2847,50.9,7.71,POINT (7.71 50.9)
12112,41603078,25,19.0,60.0,21.0,4.26,3.87,24.4,0.0,2.1,13.9,0.0,7.8,,2846,50.79,7.72,POINT (7.72 50.79)
12113,41602946,6,21.0,41.0,37.0,4.85,4.59,12.5,0.0,1.6,28.1,219.5,8.2,,1629,49.6,7.77,POINT (7.77 49.6)
12114,41602942,13,25.0,50.0,25.0,5.5,5.04,17.3,1.0,1.8,78.1,299.8,12.3,,1631,49.57,7.77,POINT (7.77 49.57)
12116,41602784,3,16.0,81.0,4.0,7.86,7.26,12.5,137.0,1.2,11.4,180.9,12.4,,3082,48.15,7.84,POINT (7.84 48.15)
12119,41583286,9,6.0,14.0,79.0,6.09,5.55,18.0,0.0,1.4,71.5,0.0,8.2,,1337,52.66,7.59,POINT (7.59 52.66)
12120,41583250,3,2.0,3.0,95.0,6.19,5.63,20.7,0.0,1.3,94.3,43.3,7.6,,2624,52.34,7.61,POINT (7.61 52.34)
12121,41583214,4,5.0,16.0,79.0,5.32,4.56,15.6,0.0,1.2,93.2,150.4,3.1,,1877,52.01,7.63,POINT (7.63 52.01)
12122,41583142,8,17.0,74.0,9.0,7.23,6.86,74.8,27.0,4.9,10.0,73.5,34.3,,1854,51.37,7.66,POINT (7.66 51.37)
12123,41583046,8,37.0,32.0,31.0,5.06,4.59,30.8,0.0,2.8,20.0,103.5,11.3,,2842,50.5,7.7,POINT (7.7 50.5)
12128,41563086,6,20.0,62.0,18.0,6.1,5.61,30.5,1.0,3.2,61.5,103.3,12.1,,2849,50.86,7.66,POINT (7.66 50.86)
12129,41563054,4,22.0,66.0,12.0,5.47,4.99,28.0,0.0,2.7,33.7,75.1,9.5,,2843,50.57,7.67,POINT (7.67 50.57)
12131,41562726,7,26.0,70.0,4.0,7.88,7.48,21.5,167.0,2.1,70.8,461.4,20.2,,3075,47.63,7.81,POINT (7.81 47.63)
